cmplid	elapsed_s	elapsed_kind	persist	recovery
1356993		none	until_reset	ignition
1360372		none	until_reset	ignition
1360538		none	unreadable	unreadable
1360697		none	until_reset	ignition
1362023		none	unreadable	unreadable
1363562		none	unreadable	unreadable
1363813		none	unreadable	unreadable
1365318		none	unreadable	spontaneous
1367343		none	until_reset	ignition
1368169		none	unreadable	unreadable
1369310		none	until_reset	ignition
1369444		none	until_reset	ignition
1370104		none	until_reset	ignition
1370746		none	unreadable	unreadable
1370758		none	until_reset	ignition
1371215		none	unreadable	unreadable
1372047		none	unreadable	unreadable
1374159		none	unreadable	unreadable
1376992		none	until_reset	rest_or_cool
1381522		none	unreadable	unreadable
1381998		none	until_reset	ignition
1382228		none	until_reset	ignition
1382906		none	momentary	unreadable
1383383		none	unreadable	unreadable
1391289		none	unreadable	unreadable
1392034		none	until_reset	ignition
1398428		none	unreadable	unreadable
1398880		none	unreadable	unreadable
1398923		none	unreadable	unreadable
1398928		none	until_reset	ignition
1400272		none	unreadable	unreadable
1401845		none	unreadable	unreadable
1402323		none	until_reset	ignition
1402801		none	unreadable	unreadable
1402855		none	until_reset	rest_or_cool
1404521		none	until_reset	ignition
1405358		none	until_reset	ignition
1405661		none	unreadable	unreadable
1406386		none	unreadable	unreadable
1407201		none	until_reset	ignition
1408034		none	unreadable	unreadable
1408556		none	until_reset	ignition
1408609		none	unreadable	unreadable
1409427		none	until_reset	ignition
1410572		none	unreadable	unreadable
1413026		none	until_reset	ignition
1413674		none	unreadable	unreadable
1414095		none	unreadable	unreadable
1414723		none	until_reset	ignition
1415769		none	until_reset	ignition
1416941		none	momentary	spontaneous
1417570		none	unreadable	unreadable
1420727		none	until_reset	ignition
1425326		none	until_reset	ignition
1425747		none	until_reset	ignition
1430091		none	unreadable	unreadable
1430641		none	until_reset	ignition
1431270		none	unreadable	unreadable
1431418		none	unreadable	unreadable
1431886		none	unreadable	unreadable
1435254		none	until_reset	ignition
1437150		none	unreadable	unreadable
1437757		none	until_reset	ignition
1438363		none	unreadable	unreadable
1440740		none	unreadable	unreadable
1442110		none	unreadable	unreadable
1443249		none	unreadable	unreadable
1443413		none	unreadable	unreadable
1444948		none	until_reset	ignition
1445441		none	until_reset	ignition
1445808		none	unreadable	unreadable
1445812		none	until_reset	ignition
1446943		none	until_reset	ignition
1448705		none	unreadable	unreadable
1450353		none	unreadable	spontaneous
1452496		none	unreadable	unreadable
1452836		none	unreadable	unreadable
1453008		none	until_reset	ignition
